Trip_ID,Customer_ID,Date,Day_of_Week,Direction,Departure_Time,Arrival_Time,Duration_min,traffic_conditions
TRIP0079,JG01,06-01-2025,Monday,0,07:08,07:25,17.8,light
TRIP0080,JG01,06-01-2025,Monday,1,17:17,17:35,18.5,light
TRIP0081,JR01,06-01-2025,Monday,0,08:06,08:26,20.8,normal
TRIP0082,JR01,06-01-2025,Monday,1,19:42,20:00,18.1,light
TRIP0083,JM01,06-01-2025,Monday,0,10:03,10:23,20.4,normal
TRIP0084,JM01,06-01-2025,Monday,1,18:17,18:43,26.6,moderate
TRIP0085,BE01,06-01-2025,Monday,0,07:41,07:45,4.3,light
TRIP0086,BE01,06-01-2025,Monday,1,20:13,20:17,4.5,light
TRIP0087,BP01,06-01-2025,Monday,0,07:46,07:50,4.7,light
TRIP0088,BP01,06-01-2025,Monday,1,20:21,20:25,4.8,light
TRIP0089,BC01,06-01-2025,Monday,0,07:03,07:07,4.2,light
TRIP0090,BC01,06-01-2025,Monday,1,19:08,19:12,4.2,light
TRIP0091,BM01,06-01-2025,Monday,0,10:36,11:12,36.3,normal
TRIP0092,BM01,06-01-2025,Monday,1,18:57,19:26,29.3,light
TRIP0093,KS01,06-01-2025,Monday,0,08:50,09:35,45.6,normal
TRIP0094,KS01,06-01-2025,Monday,1,17:41,18:31,51,moderate
TRIP0095,KB01,06-01-2025,Monday,0,08:38,08:54,16.5,moderate
TRIP0096,KB01,06-01-2025,Monday,1,17:14,17:26,12.6,light
TRIP0097,KO01,06-01-2025,Monday,0,07:43,07:59,16.2,light
TRIP0098,KO01,06-01-2025,Monday,1,16:11,16:29,18.5,light
TRIP0099,EE01,07-01-2025,Tuesday,0,07:20,07:39,19.3,light
TRIP0100,EE01,07-01-2025,Tuesday,1,17:28,17:46,18.8,normal
TRIP0101,MM01,07-01-2025,Tuesday,0,08:14,08:40,26.3,normal
TRIP0102,MM01,07-01-2025,Tuesday,1,18:48,19:07,19.7,light
TRIP0103,MB01,07-01-2025,Tuesday,0,08:03,08:16,13.7,light
TRIP0104,MB01,07-01-2025,Tuesday,1,16:27,16:40,13.2,light
TRIP0105,MS01,07-01-2025,Tuesday,0,08:08,09:00,52.1,normal
TRIP0106,AC01,07-01-2025,Tuesday,0,08:57,09:36,39.8,light
TRIP0107,AC01,07-01-2025,Tuesday,1,19:30,20:02,32.7,light
TRIP0108,AE01,07-01-2025,Tuesday,0,08:03,08:38,35.6,light
TRIP0109,AE01,07-01-2025,Tuesday,1,18:50,19:19,29.7,light
TRIP0110,AM01,07-01-2025,Tuesday,0,08:01,09:04,63.6,light
TRIP0111,AM01,07-01-2025,Tuesday,1,18:20,19:28,68.2,normal
TRIP0112,MI01,07-01-2025,Tuesday,0,07:23,07:31,8.2,light
TRIP0113,MI01,07-01-2025,Tuesday,1,17:24,17:32,8.7,light
TRIP0114,MG01,07-01-2025,Tuesday,0,09:35,10:18,44,light
TRIP0115,MG01,07-01-2025,Tuesday,1,17:27,18:14,47,light
TRIP0116,MO01,07-01-2025,Tuesday,0,08:41,09:19,38,normal
TRIP0117,MO01,07-01-2025,Tuesday,1,18:11,18:53,42.3,moderate
TRIP0118,IR01,07-01-2025,Tuesday,0,08:28,08:47,19.3,moderate
TRIP0119,IR01,07-01-2025,Tuesday,1,18:38,18:53,15.8,light
TRIP0120,IS01,07-01-2025,Tuesday,0,08:12,08:46,34.5,normal
TRIP0121,IS01,07-01-2025,Tuesday,1,17:19,17:48,29.1,light
TRIP0122,IG01,07-01-2025,Tuesday,0,10:18,10:49,31.6,normal
TRIP0123,IG01,07-01-2025,Tuesday,1,17:55,18:34,39.7,moderate
TRIP0124,SR01,07-01-2025,Tuesday,0,07:14,07:25,11.9,light
TRIP0125,SR01,07-01-2025,Tuesday,1,20:56,21:06,10.2,light
TRIP0126,SM01,07-01-2025,Tuesday,0,09:28,09:45,17.1,light
TRIP0127,SM01,07-01-2025,Tuesday,1,17:42,18:12,30.5,normal
TRIP0128,SO01,07-01-2025,Tuesday,0,10:45,11:23,38.1,normal
TRIP0129,SO01,07-01-2025,Tuesday,1,16:44,17:15,31.4,light
TRIP0130,JC01,07-01-2025,Tuesday,0,09:01,09:20,19.3,light
TRIP0131,JC01,07-01-2025,Tuesday,1,17:53,18:18,25.1,moderate
TRIP0132,JP01,07-01-2025,Tuesday,0,08:40,09:07,27.1,normal
TRIP0133,JP01,07-01-2025,Tuesday,1,17:39,18:04,25.7,normal
TRIP0134,JE01,07-01-2025,Tuesday,0,10:54,11:14,20.9,normal
TRIP0135,JE01,07-01-2025,Tuesday,1,17:52,18:20,28.5,moderate
TRIP0136,BG01,07-01-2025,Tuesday,0,08:35,08:54,19.6,moderate
TRIP0137,BG01,07-01-2025,Tuesday,1,20:22,20:33,11.2,light
TRIP0138,BS01,07-01-2025,Tuesday,0,08:58,09:13,15.3,light
TRIP0139,BS01,07-01-2025,Tuesday,1,18:51,19:02,11.4,light
TRIP0140,BB01,07-01-2025,Tuesday,0,08:39,09:04,25.7,normal
TRIP0141,BB01,07-01-2025,Tuesday,1,18:39,19:02,23.5,light
TRIP0142,RI01,07-01-2025,Tuesday,0,09:23,09:32,9.5,light
TRIP0143,RI01,07-01-2025,Tuesday,1,20:17,20:27,10.2,light
TRIP0144,RR01,07-01-2025,Tuesday,0,08:40,09:06,26,normal
TRIP0145,RR01,07-01-2025,Tuesday,1,18:11,18:37,26.8,moderate
TRIP0146,RM01,07-01-2025,Tuesday,0,10:27,10:43,16.3,normal
TRIP0147,RM01,07-01-2025,Tuesday,1,19:34,19:47,14,light
TRIP0148,CO01,07-01-2025,Tuesday,0,07:20,07:47,27.3,light
TRIP0149,CO01,07-01-2025,Tuesday,1,16:11,16:38,27.1,light
TRIP0150,CP01,07-01-2025,Tuesday,0,09:12,09:23,11.4,light
TRIP0151,CP01,07-01-2025,Tuesday,1,18:15,18:31,16.1,moderate
TRIP0152,CE01,07-01-2025,Tuesday,0,07:48,07:59,11.4,light
TRIP0153,CE01,07-01-2025,Tuesday,1,17:21,17:35,14.3,light
TRIP0154,CB01,07-01-2025,Tuesday,0,08:56,09:34,38.6,light
TRIP0155,CB01,07-01-2025,Tuesday,1,17:09,17:39,30.2,light
TRIP0156,CI01,07-01-2025,Tuesday,0,09:22,09:53,31.6,light
TRIP0157,CI01,07-01-2025,Tuesday,1,17:25,18:07,42.7,light
TRIP0158,CG01,07-01-2025,Tuesday,0,09:06,09:53,47.9,light
TRIP0159,CG01,07-01-2025,Tuesday,1,18:10,19:19,69.4,moderate
TRIP0160,AI01,07-01-2025,Tuesday,0,10:21,10:42,21.5,normal
TRIP0161,AI01,07-01-2025,Tuesday,1,18:40,18:58,19,light
TRIP0162,AS01,07-01-2025,Tuesday,0,07:37,08:07,30,light
TRIP0163,AS01,07-01-2025,Tuesday,1,17:20,17:59,39.5,light
TRIP0164,AR01,07-01-2025,Tuesday,0,10:26,10:55,29.9,normal
TRIP0165,AR01,07-01-2025,Tuesday,1,18:16,18:49,34,moderate
TRIP0166,HB01,07-01-2025,Tuesday,0,10:28,10:41,13.5,normal
TRIP0167,HB01,07-01-2025,Tuesday,1,17:02,17:11,10,light
TRIP0168,HM01,07-01-2025,Tuesday,0,08:24,09:02,38.4,moderate
TRIP0169,HM01,07-01-2025,Tuesday,1,16:11,16:40,29.9,light
TRIP0170,HE01,07-01-2025,Tuesday,0,07:05,07:11,6.8,light
TRIP0171,HE01,07-01-2025,Tuesday,1,19:52,19:58,6.2,light
TRIP0172,HP01,07-01-2025,Tuesday,0,09:28,09:33,5,light
TRIP0173,HP01,07-01-2025,Tuesday,1,17:39,17:47,8.6,normal
TRIP0174,JG01,07-01-2025,Tuesday,0,07:28,07:46,18.6,light
TRIP0175,JG01,07-01-2025,Tuesday,1,18:46,19:02,16.5,light
TRIP0176,JR01,07-01-2025,Tuesday,0,08:37,09:01,24.1,moderate
TRIP0177,JR01,07-01-2025,Tuesday,1,18:41,18:58,17.4,light
TRIP0178,JM01,07-01-2025,Tuesday,0,10:13,10:33,20.1,normal
TRIP0179,JM01,07-01-2025,Tuesday,1,16:49,17:06,17.3,light
TRIP0180,BE01,07-01-2025,Tuesday,0,07:07,07:12,5.1,light
TRIP0181,BE01,07-01-2025,Tuesday,1,16:42,16:47,5.6,light
TRIP0182,BP01,07-01-2025,Tuesday,0,10:55,11:00,5.3,normal
TRIP0183,BP01,07-01-2025,Tuesday,1,19:44,19:48,4.6,light
TRIP0184,BM01,07-01-2025,Tuesday,0,07:52,08:22,30.3,light
TRIP0185,BM01,07-01-2025,Tuesday,1,18:17,18:59,42.6,normal
TRIP0186,KS01,07-01-2025,Tuesday,0,09:01,09:37,36.4,light
TRIP0187,KS01,07-01-2025,Tuesday,1,16:08,16:46,38.7,light
TRIP0188,KM01,07-01-2025,Tuesday,0,07:25,07:53,28.8,light
TRIP0189,KM01,07-01-2025,Tuesday,1,18:06,18:41,35,moderate
TRIP0190,KB01,07-01-2025,Tuesday,0,07:08,07:20,12.4,light
TRIP0191,KB01,07-01-2025,Tuesday,1,19:08,19:20,12.2,light
TRIP0192,KO01,07-01-2025,Tuesday,0,08:08,08:28,20.3,normal
TRIP0193,KO01,07-01-2025,Tuesday,1,19:38,19:58,20.1,light
TRIP0194,EE01,08-01-2025,Wednesday,0,07:05,07:23,18.3,light
TRIP0195,EE01,08-01-2025,Wednesday,1,16:49,17:07,18.9,light
TRIP0196,EC01,08-01-2025,Wednesday,0,07:42,07:57,15.2,light
TRIP0197,EC01,08-01-2025,Wednesday,1,18:32,18:53,21.8,normal
TRIP0198,MM01,08-01-2025,Wednesday,0,09:48,10:09,21.8,light
TRIP0199,MM01,08-01-2025,Wednesday,1,17:04,17:20,16.3,light
TRIP0200,MB01,08-01-2025,Wednesday,0,07:22,07:35,13.3,light
TRIP0201,MB01,08-01-2025,Wednesday,1,17:47,18:06,19.7,moderate
TRIP0202,MS01,08-01-2025,Wednesday,0,07:09,07:52,43.4,light
TRIP0203,MS01,08-01-2025,Wednesday,1,19:24,20:11,47.7,light
TRIP0204,AC01,08-01-2025,Wednesday,0,09:59,10:34,35.5,light
TRIP0205,AC01,08-01-2025,Wednesday,1,16:50,17:23,33,light
TRIP0206,AE01,08-01-2025,Wednesday,0,08:38,09:21,43.2,moderate
TRIP0207,AE01,08-01-2025,Wednesday,1,16:06,16:37,31.8,light
TRIP0208,AM01,08-01-2025,Wednesday,0,09:00,09:57,57.8,light
TRIP0209,AM01,08-01-2025,Wednesday,1,19:20,20:23,63.7,light
TRIP0210,MG01,08-01-2025,Wednesday,0,07:41,08:13,32.9,light
TRIP0211,MG01,08-01-2025,Wednesday,1,20:39,21:15,36.2,light
TRIP0212,MO01,08-01-2025,Wednesday,0,10:13,10:42,29.8,normal
TRIP0213,MO01,08-01-2025,Wednesday,1,16:52,17:24,32.5,light
TRIP0214,IR01,08-01-2025,Wednesday,0,10:44,10:59,15.2,normal
TRIP0215,IR01,08-01-2025,Wednesday,1,18:58,19:08,10.6,light
TRIP0216,IG01,08-01-2025,Wednesday,0,07:05,07:34,29.2,light
TRIP0217,IG01,08-01-2025,Wednesday,1,18:33,19:06,33.5,light
TRIP0218,SM01,08-01-2025,Wednesday,0,07:57,08:22,25.9,light
TRIP0219,SM01,08-01-2025,Wednesday,1,17:49,18:23,34.9,moderate
TRIP0220,SO01,08-01-2025,Wednesday,0,08:30,09:12,42.4,moderate
TRIP0221,SO01,08-01-2025,Wednesday,1,16:02,16:31,29.5,light
TRIP0222,JC01,08-01-2025,Wednesday,0,07:05,07:24,19.5,light
TRIP0223,JC01,08-01-2025,Wednesday,1,19:47,20:05,18.5,light
TRIP0224,JP01,08-01-2025,Wednesday,0,10:19,10:40,21.4,normal
TRIP0225,JP01,08-01-2025,Wednesday,1,16:59,17:17,18.4,light
TRIP0226,JE01,08-01-2025,Wednesday,0,10:33,10:54,21.8,normal
TRIP0227,JE01,08-01-2025,Wednesday,1,17:04,17:19,15.8,light
TRIP0228,BG01,08-01-2025,Wednesday,0,08:17,08:33,16,normal
TRIP0229,BG01,08-01-2025,Wednesday,1,19:43,19:56,13.3,light
TRIP0230,BS01,08-01-2025,Wednesday,0,08:33,08:50,17.1,moderate
TRIP0231,BS01,08-01-2025,Wednesday,1,17:36,17:52,16.1,normal
TRIP0232,BB01,08-01-2025,Wednesday,0,08:08,08:31,23.5,normal
TRIP0233,BB01,08-01-2025,Wednesday,1,20:50,21:08,18.4,light
TRIP0234,RI01,08-01-2025,Wednesday,0,10:23,10:36,13.9,normal
TRIP0235,RI01,08-01-2025,Wednesday,1,20:13,20:24,11.1,light
TRIP0236,RR01,08-01-2025,Wednesday,0,07:31,07:43,12.4,light
TRIP0237,RR01,08-01-2025,Wednesday,1,18:53,19:07,14.5,light
TRIP0238,RM01,08-01-2025,Wednesday,0,07:29,07:43,14.3,light
TRIP0239,RM01,08-01-2025,Wednesday,1,17:27,17:42,15.7,light
TRIP0240,CO01,08-01-2025,Wednesday,0,10:18,10:49,32,normal
TRIP0241,CO01,08-01-2025,Wednesday,1,19:24,19:54,30.5,light
TRIP0242,CP01,08-01-2025,Wednesday,0,08:18,08:33,15.8,normal
TRIP0243,CP01,08-01-2025,Wednesday,1,18:14,18:28,14.7,moderate
TRIP0244,CB01,08-01-2025,Wednesday,0,08:43,09:33,50.5,normal
TRIP0245,CB01,08-01-2025,Wednesday,1,19:12,19:48,37,light
TRIP0246,CI01,08-01-2025,Wednesday,0,08:55,09:33,38.3,normal
TRIP0247,CI01,08-01-2025,Wednesday,1,19:51,20:25,34.8,light
TRIP0248,CG01,08-01-2025,Wednesday,0,08:43,09:35,52.5,normal
TRIP0249,CG01,08-01-2025,Wednesday,1,19:24,20:08,44.1,light
TRIP0250,AI01,08-01-2025,Wednesday,0,07:32,07:47,15.6,light
TRIP0251,AI01,08-01-2025,Wednesday,1,19:29,19:51,22.5,light
TRIP0252,AS01,08-01-2025,Wednesday,0,08:41,09:30,49.8,normal
TRIP0253,AS01,08-01-2025,Wednesday,1,18:05,18:53,48.3,moderate
TRIP0254,AR01,08-01-2025,Wednesday,0,08:45,09:16,31,normal
TRIP0255,AR01,08-01-2025,Wednesday,1,20:10,20:30,20.9,light
TRIP0256,HB01,08-01-2025,Wednesday,0,08:28,08:48,20.1,moderate
TRIP0257,HB01,08-01-2025,Wednesday,1,18:46,18:59,13.2,light
TRIP0258,HM01,08-01-2025,Wednesday,0,08:10,08:42,32.6,normal
TRIP0259,HM01,08-01-2025,Wednesday,1,19:59,20:26,27.8,light
TRIP0260,HE01,08-01-2025,Wednesday,0,07:10,07:16,6.1,light
TRIP0261,HE01,08-01-2025,Wednesday,1,18:15,18:23,8.1,moderate
TRIP0262,HP01,08-01-2025,Wednesday,0,10:04,10:11,7.5,normal
TRIP0263,HP01,08-01-2025,Wednesday,1,18:47,18:53,6.6,light
TRIP0264,JG01,08-01-2025,Wednesday,0,09:58,10:16,18.5,light
TRIP0265,JG01,08-01-2025,Wednesday,1,17:27,17:47,20.9,light
TRIP0266,JR01,08-01-2025,Wednesday,0,09:13,09:30,17.4,light
TRIP0267,JR01,08-01-2025,Wednesday,1,18:32,18:50,18.8,normal
TRIP0268,JM01,08-01-2025,Wednesday,0,09:48,10:04,16.7,light
TRIP0269,BE01,08-01-2025,Wednesday,0,08:55,09:00,5.9,normal
TRIP0270,BE01,08-01-2025,Wednesday,1,17:39,17:45,6.7,normal
TRIP0271,BP01,08-01-2025,Wednesday,0,07:40,07:43,3.6,light
TRIP0272,BP01,08-01-2025,Wednesday,1,18:56,18:59,3.6,light
TRIP0273,BC01,08-01-2025,Wednesday,0,08:03,08:07,4.3,light
TRIP0274,BC01,08-01-2025,Wednesday,1,17:05,17:08,3.1,light
TRIP0275,BM01,08-01-2025,Wednesday,0,09:01,09:37,36.9,light
TRIP0276,BM01,08-01-2025,Wednesday,1,18:31,19:05,34,normal
TRIP0277,KS01,08-01-2025,Wednesday,0,07:51,08:27,36.9,light
TRIP0278,KS01,08-01-2025,Wednesday,1,17:01,17:31,30.3,light
TRIP0279,KM01,08-01-2025,Wednesday,0,08:26,09:02,36.2,moderate
TRIP0280,KM01,08-01-2025,Wednesday,1,20:16,20:41,25.4,light
TRIP0281,KB01,08-01-2025,Wednesday,0,07:44,07:55,11.4,light
TRIP0282,KB01,08-01-2025,Wednesday,1,18:04,18:20,16.8,moderate
TRIP0283,KO01,08-01-2025,Wednesday,0,08:56,09:16,20.5,light
TRIP0284,KO01,08-01-2025,Wednesday,1,17:30,17:51,21.4,normal
TRIP0285,EE01,09-01-2025,Thursday,0,08:49,09:11,22.8,normal
TRIP0286,EE01,09-01-2025,Thursday,1,19:38,19:57,19.9,light
TRIP0287,EC01,09-01-2025,Thursday,0,09:20,09:36,16.9,light
TRIP0288,EC01,09-01-2025,Thursday,1,19:36,19:54,18.5,light
TRIP0289,MM01,09-01-2025,Thursday,0,08:58,09:18,20.1,light
TRIP0290,MM01,09-01-2025,Thursday,1,17:56,18:29,33.4,heavy
TRIP0291,MB01,09-01-2025,Thursday,0,07:15,07:30,15.1,light
TRIP0292,MB01,09-01-2025,Thursday,1,19:10,19:25,15.2,light
TRIP0293,MS01,09-01-2025,Thursday,0,08:06,08:58,52,normal
TRIP0294,MS01,09-01-2025,Thursday,1,18:36,19:33,57,normal
TRIP0295,AC01,09-01-2025,Thursday,0,08:07,08:50,43.3,normal
TRIP0296,AC01,09-01-2025,Thursday,1,17:51,18:46,55.8,moderate
TRIP0297,AE01,09-01-2025,Thursday,0,08:36,09:22,46.3,moderate
TRIP0298,AE01,09-01-2025,Thursday,1,17:57,18:46,49.1,heavy
TRIP0299,MI01,09-01-2025,Thursday,0,09:39,09:47,8.4,light
TRIP0300,MI01,09-01-2025,Thursday,1,20:46,20:52,6.9,light
TRIP0301,MG01,09-01-2025,Thursday,0,08:42,09:30,48.5,normal
TRIP0302,MG01,09-01-2025,Thursday,1,17:52,18:52,60.2,moderate
TRIP0303,IR01,09-01-2025,Thursday,0,08:34,08:51,17.9,moderate
TRIP0304,IR01,09-01-2025,Thursday,1,20:36,20:48,12.2,light
TRIP0305,IS01,09-01-2025,Thursday,0,08:58,09:31,33.9,light
TRIP0306,IS01,09-01-2025,Thursday,1,19:59,20:29,30.2,light
TRIP0307,IG01,09-01-2025,Thursday,0,08:01,08:34,33.3,light
TRIP0308,IG01,09-01-2025,Thursday,1,18:28,19:06,38.4,normal
TRIP0309,SR01,09-01-2025,Thursday,0,10:06,10:17,11.6,normal
TRIP0310,SR01,09-01-2025,Thursday,1,19:18,19:28,10.2,light
TRIP0311,SM01,09-01-2025,Thursday,0,10:53,11:19,26,normal
TRIP0312,SM01,09-01-2025,Thursday,1,18:20,18:52,33,moderate
TRIP0313,SO01,09-01-2025,Thursday,0,07:21,07:54,33.4,light
TRIP0314,SO01,09-01-2025,Thursday,1,20:09,20:37,28.1,light
TRIP0315,JC01,09-01-2025,Thursday,0,07:16,07:35,19.3,light
TRIP0316,JC01,09-01-2025,Thursday,1,20:59,21:15,16.3,light
TRIP0317,JP01,09-01-2025,Thursday,0,10:23,10:45,22.4,normal
TRIP0318,JP01,09-01-2025,Thursday,1,20:52,21:11,19.7,light
TRIP0319,JE01,09-01-2025,Thursday,0,08:22,08:47,25.3,moderate
TRIP0320,JE01,09-01-2025,Thursday,1,19:06,19:26,20.2,light
TRIP0321,BG01,09-01-2025,Thursday,0,09:55,10:08,13.3,light
TRIP0322,BG01,09-01-2025,Thursday,1,18:44,18:56,12.4,light
TRIP0323,BB01,09-01-2025,Thursday,0,08:51,09:16,25.2,normal
TRIP0324,BB01,09-01-2025,Thursday,1,19:21,19:43,22.3,light
TRIP0325,RI01,09-01-2025,Thursday,0,08:48,09:02,14.7,normal
TRIP0326,RI01,09-01-2025,Thursday,1,17:45,18:02,17.7,moderate
TRIP0327,RR01,09-01-2025,Thursday,0,09:56,10:13,17.4,light
TRIP0328,RR01,09-01-2025,Thursday,1,17:09,17:25,16.6,light
TRIP0329,RM01,09-01-2025,Thursday,0,07:28,07:42,14.2,light
TRIP0330,RM01,09-01-2025,Thursday,1,19:13,19:26,13.9,light
TRIP0331,CO01,09-01-2025,Thursday,0,09:52,10:21,29.9,light
TRIP0332,CO01,09-01-2025,Thursday,1,17:11,17:39,28.4,light
TRIP0333,CP01,09-01-2025,Thursday,0,07:21,07:32,11,light
TRIP0334,CP01,09-01-2025,Thursday,1,18:09,18:26,17.3,moderate
TRIP0335,CE01,09-01-2025,Thursday,0,08:02,08:14,12.8,light
TRIP0336,CE01,09-01-2025,Thursday,1,17:07,17:19,12.2,light
TRIP0337,CB01,09-01-2025,Thursday,0,08:27,09:22,55.6,moderate
TRIP0338,CB01,09-01-2025,Thursday,1,18:25,19:08,43.6,normal
TRIP0339,CI01,09-01-2025,Thursday,0,09:51,10:30,40,light
TRIP0340,CI01,09-01-2025,Thursday,1,17:03,17:34,31.5,light
TRIP0341,CG01,09-01-2025,Thursday,0,09:38,10:28,50.7,light
TRIP0342,CG01,09-01-2025,Thursday,1,17:14,17:58,44.8,light
TRIP0343,AI01,09-01-2025,Thursday,0,08:37,09:02,25.1,moderate
TRIP0344,AI01,09-01-2025,Thursday,1,18:54,19:11,17.8,light
TRIP0345,AS01,09-01-2025,Thursday,0,07:15,07:50,35.3,light
TRIP0346,AS01,09-01-2025,Thursday,1,20:29,21:01,32.6,light
TRIP0347,AR01,09-01-2025,Thursday,0,07:44,08:06,22,light
TRIP0348,AR01,09-01-2025,Thursday,1,20:37,20:57,20.7,light
TRIP0349,HB01,09-01-2025,Thursday,0,08:12,08:29,17.5,normal
TRIP0350,HB01,09-01-2025,Thursday,1,19:08,19:20,12.5,light
